,Answer,Creation Date
20,"You have to use an `ObservableObject` for subscribing to the publisher provided by ImageLoader.

    class ImageProvider: ObservableObject {
        @Published var image = UIImage(named: &quot;icHamburger&quot;)!
        private var cancellable: AnyCancellable?
        private let imageLoader = ImageLoader()
    
        func loadImage(url: URL) {
            self.cancellable = imageLoader.publisher(for: url)
                .sink(receiveCompletion: { failure in
                print(failure)
            }, receiveValue: { image in
                self.image = image
            })
        }
    }
    
    struct MyImageView: View {
        var url: URL
        @StateObject var viewModel = ImageProvider()
        var body: some View {
            Image(uiImage: viewModel.image)
                .onAppear {
                    viewModel.loadImage(url: url)
                }
        }
    }",2020-11-16 11:19:20
21,"Use:


    df1 = df.loc[df.index.repeat(df.pop(&#39;Freq&#39;))]
    df1[&#39;ID&#39;] = df1[&#39;ID&#39;].astype(str) + &#39;_&#39; + df1.groupby(level=0).cumcount().add(1).astype(str)
    df1 = df1.reset_index(drop=True)
    print (df1)
                  ID  attribute_x  attribute_y
    0  10001021011_1           54           54
    1  10001021011_2           54           54
    2  10001021011_3           54           54
    3  10001021011_4           54           54",2020-11-16 11:48:28
22,"It seems to be working correctly in Angular, actually. The array is sorted correctly by the name of the singers, as this is what you compare:

    const bandA = a.name;
    const bandB = b.name;

My guess is that your code in &#39;native&#39; javascript really compared the bands.",2020-11-16 11:48:27
23,"    array.sort_by{|x| ( x.class == Array ? x.join(&quot; &quot;) : x.to_s ).split(/(\d+)/).map{|x| x.to_s.strip }.select{|x| x.to_s != &quot;&quot; }.map{|x| x =~ /\d+/ ? x.to_s.rjust(30) : x }}

This can compare arrays by arrays in the sort_by method even if the type of the matching items differ. Even if there are deeper nested arrays. Example:

    [ &quot;3  a   22&quot;, &quot;b  22     1&quot;, &quot;   b  5  &quot;, [11, 2, [4, 5]] ] #=&gt;
    [ &quot;3  a   22&quot;, [11, 2, [4, 5]], &quot;   b  5  &quot;, &quot;b  22     1&quot; ]

The point here is that during the sort if an item is a nested array then we convert it to a string beforehand. And if parts of the string contain digits only then we do not convert them to numeric values but instead extend them with spaces, like:

    30 #=&gt; &quot;                         30&quot;

This way all objects will be compatible strings and the sorting will be able to compare them resulting in a numeric sort if the matching objects at their positions are numbers only.",2020-11-16 11:31:30
24,"In your case it would be better to use **WebView** to preview files like pdf .

### In forms 

Create a custom webview

    public class MyWebView : WebView
	{
		public static readonly BindableProperty UriProperty = BindableProperty.Create(propertyName: &quot;Uri&quot;,
				returnType: typeof(string),
				declaringType: typeof(MyWebView),
				defaultValue: default(string));

		public string Uri
		{
			get { return (string)GetValue(UriProperty); }
			set { SetValue(UriProperty, value); }
		}
	}


### in Android project

```

using Android.Content;
using Android.Net.Http;
using Android.OS;
using Android.Runtime;
using Android.Views;
using Android.Webkit;
using Android.Widget;
using App32;
using App32.Droid;
using Xamarin.Forms;
using Xamarin.Forms.Platform.Android;

[assembly: ExportRenderer(typeof(MyWebView), typeof(CustomWebViewRenderer))]
namespace App32.Droid
{
    public class CustomWebViewRenderer : WebViewRenderer
    {
        Context _context;
        public CustomWebViewRenderer(Context context) : base(context)
        {
            _context = context;
        }

        protected override void OnElementChanged(ElementChangedEventArgs&lt;Xamarin.Forms.WebView&gt; e)
        {
            base.OnElementChanged(e);

            if (e.NewElement != null)
            {
                Android.Webkit.WebView web_view = new Android.Webkit.WebView(_context);
                web_view.LoadUrl(&quot;https://drive.google.com/viewerng/viewer?embedded=true&amp;url=&quot;+((MyWebView)Element).Uri);
           
                SetNativeControl(web_view);
                Control.Settings.JavaScriptEnabled = true;
               
            }
        }
    }

    
}
```

### in iOS project

```
using System;
using App32;
using App32.iOS;
using Foundation;
using ObjCRuntime;
using UIKit;
using WebKit;
using Xamarin.Forms.Platform.iOS;

[assembly: Xamarin.Forms.ExportRenderer(typeof(MyWebView), typeof(MyWebViewRenderer))]
namespace App32.iOS
{
    public class MyWebViewRenderer : ViewRenderer&lt;MyWebView, WKWebView&gt;
    {
        WKWebView _wkWebView;

        protected override void OnElementChanged(ElementChangedEventArgs&lt;MyWebView&gt; e)
        {
            base.OnElementChanged(e);

            if (Control == null)
            {
                var config = new WKWebViewConfiguration();
                _wkWebView = new WKWebView(Frame, config);
               
                SetNativeControl(_wkWebView);
            }

            if(e.NewElement!=null)
            {
                var webview = Element as MyWebView;

                var url = webview.Uri;

                Control.LoadRequest(new NSUrlRequest(new NSUrl(&quot;https://drive.google.com/viewerng/viewer?embedded=true&amp;url=&quot; + webview.Uri)));
            }

        }
        

    }

  
}
```

### in xaml
 
Now you can use it in xaml like (you could open a new ContentPage that contains the WebView)

```
&lt;StackLayout HorizontalOptions=&quot;FillAndExpand&quot; VerticalOptions=&quot;FillAndExpand&quot;&gt;

        &lt;local:MyWebView Uri=&quot;https://www.pdfpdf.com/samples/Sample1.PDF&quot;/&gt;

&lt;/StackLayout&gt;
```
",2020-11-16 11:04:55
25,"```
np.rate(num_of_payments,month_payment,loan_amount,num_iteration_for_solutions)
condition for solution
|num_of_payments*month_payment|&gt;loan_amount

month_payment should be negative (money change in your account)
``",2020-11-16 11:48:10
26,"A solution using `rempat` and implicit expansion:

    repmat(1:5&lt;(2:6)&#39;,3,2)",2020-11-16 11:47:52
27,"You need to define an internal table, something like the this [official example](https://sapui5.hana.ondemand.com/#/entity/sap.ui.comp.smarttable.SmartTable/sample/sap.ui.comp.sample.smarttable.mtableDataState/code).

As soon as you defined the internal table, then you can play with `&lt;Table&gt;` to disable the entire row you need to define a [mode](https://sapui5.hana.ondemand.com/#/api/sap.m.ListMode) for the interior table. 

```js
&lt;Table mode=&quot;None&quot; ...&gt;
```

More example also can be found [here](https://stackoverflow.com/questions/24327875/how-to-handle-the-itempress-of-sap-m-table)",2020-11-16 11:47:43
28,"I had enabled the flag in Enable new USB backend in [chrome://flags/#new-usb-backend][1] 


  [1]: chrome://flags/#new-usb-backend
I changed it to default and it worked",2020-11-16 11:47:40
29,"I believe this may be a genuine bug, from the [documentation][1] `\l` should load in any q serialized file. However I would advise against using `\l` to load in files, for the following reasons 
 * When loading enumerated partition table, it&#39;s very easy to not load the associated sym file and then have no symbols (see the example below)
 * Files are loaded in with the name of the file, which can overwrite objects, it&#39;s much better to use `get`

```q
q)t:.Q.en[`:tmp;([] c1:`a`b`c; c2:10 20 30)]
q)`:/tmp/data3/t/ set t
`:/tmp/data3/t/
q)\\

C:\Users\cbiggs\Documents&gt;q
KDB+ 4.0 2020.05.04 Copyright (C) 1993-2020 Kx Systems
w64/ 8(16)core 16227MB cbiggs lptp633 192.168.56.1 EXPIRE 2021.05.18 cbiggs@kx.com KOD #4170988

q)\l /tmp/data3/t
`t
q)t
c1 c2
-----
0  10
1  20
2  30
```

  [1]: https://code.kx.com/q4m3/13_Commands_and_System_Variables/#13111-load-l",2020-11-16 11:47:32
30,"To Run this in your local machine with Chrome browser &gt;=79 please follow below steps.
I fixed my problem by going to chrome://flags/ then search for cookies. Set the following 3 flags to disabled...

SameSite by default cookies
Enable removing SameSite=None cookies
Cookies without SameSite must be secure

RAHUL GUPTA
TECHYMONK
",2020-11-16 11:47:26
31,"driver.find_element_by_css_selector(&#39;.na.finger.product-container&#39;).get_attribute(&#39;na-data&#39;)

return 

{&quot;ids_value&quot;:[&quot;#290#&quot;],&quot;ids_key&quot;:&quot;item_type_ids&quot;,&quot;item_type_ids&quot;:[&quot;#290#&quot;],&quot;tag_ids&quot;:[&quot;#4#&quot;],&quot;app_page_section_id&quot;:10103,&quot;app_page_id&quot;:10011}

thanks everyone!",2020-11-16 11:47:21
32,"@Lubomir, have you tried that jmespath already ? official doc of flask app builder does not mention that it works with ldap.  Anyways, i tried it snippet as mentioned as AUTH_USER_REGISTRATION_ROLE_JMESPATH = &#39;email == &#39;user1@domain.com&#39; &amp;&amp; &#39;Admin&#39; || (email == &#39;user2@domain.com&#39; &amp;&amp; &#39;Op&#39; || &#39;Viewer&#39;)&#39; in the webserver_config.py but I am getting syntax error. What is the proper way to use jmespath ? I have not used it before.",2020-11-16 11:47:10
33,"try it

change your package like this

[![enter image description here][1]][1]

create build flavors for split version like debug release or ...

this flavor setting is mine you can change for your need

in build.gradle(app)


    productFlavors {

        newStage {

            buildConfigField(STRING, API_BASE_URL, &#39;\&quot;http://link\&quot;&#39;)
            buildConfigField(STRING, SOCKET_BASE_URL, &#39;\&quot;ws://link/\&quot;&#39;)

            applicationId = &quot;com.package.newStage&quot;

            versionNameSuffix = &#39;-NEW-STAGE&#39;

        }

        stage {

            buildConfigField(STRING, API_BASE_URL, &#39;\&quot;link\&quot;&#39;)
            buildConfigField(STRING, SOCKET_BASE_URL, &#39;\&quot;link/\&quot;&#39;)

            applicationId = &quot;com.package.stage&quot;

            versionNameSuffix = &#39;-STAGE&#39;

        }

        product {

            buildConfigField(STRING, API_BASE_URL, &#39;\&quot;link&quot;&#39;)
            buildConfigField(STRING, SOCKET_BASE_URL, &#39;\&quot;link\&quot;&#39;)
            applicationId = &quot;com.package&quot;

        }

    }


and set sourceSets for set flavor path resource and class

        sourceSets {

        main {
            jniLibs.srcDir &#39;src/main/libs&#39;
        }


        newStage {
            resources.srcDirs = [&#39;src/newStage/resources&#39;,]
            flavorDimensions &quot;newStage&quot;
        }

        stage {
            resources.srcDirs = [&#39;src/stage/resources&#39;,]
            flavorDimensions &quot;stage&quot;
        }

        product {
            java.srcDirs = [&#39;src/main/java&#39;,]
            resources.srcDirs = [&#39;src/main/resources&#39;,]
            flavorDimensions &quot;product&quot;
        }

    }


  [1]: https://i.stack.imgur.com/78qVg.png",2020-11-16 11:47:05
34,"@lissettdm @Eran. Thank you for your answers, I went with the following :

      indexG = 0;

            $scope.increase = function(item) {
                var childHasParent = documentsLines.find(element =&gt; element.lineIndex == item);
                if (childHasParent != null) {

                    $scope.count[indexG] = $scope.count[indexG] == undefined ? 1 : $scope.count[indexG] + 1;

                    var exist = childHasParent.parentLineIndex != -1;

                    if (exist) {
                        increase(childHasParent.parentLineIndex);
                    }
                } else {
                    indexG = 0;
                    console.log($scope.count);
                    return $scope.count;
                }
            }

            $scope.myFunction =function() {

                documentsLines = json[0].editableDocumentLines;
                $scope.count = [];


                for (i = 0; i &lt; documentsLines.length; i++) {
                    item = documentsLines[i];

                    if (item.parentLineIndex != -1) {
                        indexG = item.lineIndex;
                        increase(item.parentLineIndex);

                    }

                }
                console.log(count)
                return $scope.count;
            }",2020-11-16 11:46:52
35,"getDownloadURL is a Future, so how about you try it like this:

```
Future&lt;String&gt; uploadPic() async {
    Reference ref = storage.ref().child(&quot;image1&quot; + DateTime.now().toString());
    UploadTask uploadTask = ref.putFile(_image1);
    await uploadTask.onComplete;
    String url;
    res.ref.getDownloadURL().then((fileUrl){
       url = fileUrl as String;
    });
    return url;
  }
```",2020-11-16 11:28:06
36,"Instead of filtering the collection in your template, you can use the [configuration API to create a filtered collection][1] in your `.eleventy.js` file. This should work:

```javascript
// .eleventy.js
eleventyConfig.addCollection(&#39;posts&#39;, collections =&gt; {
  // get all posts by tag &#39;post&#39;
  return collections.getFilteredByTag(&#39;post&#39;)
    // exclude all drafts
    .filter(post =&gt; Boolean(post.data.draft)));
}
```

If you need both both the filtered list of posts as well as the complete list, you can also use different aliases:

```javascript
// .eleventy.js
eleventyConfig.addCollection(&#39;posts&#39;, collections =&gt; {
  return collections.getFilteredByTag(&#39;post&#39;);
}
eleventyConfig.addCollection(&#39;published_posts&#39;, collections =&gt; {
  // get all posts by tag &#39;post&#39;
  return collections.getFilteredByTag(&#39;post&#39;)
    // exclude all drafts
    .filter(post =&gt; Boolean(post.data.draft)));
}
```


  [1]: https://www.11ty.dev/docs/collections/#advanced-custom-filtering-and-sorting",2020-11-16 11:46:31
37,"YES.That the main goal of creating Https protocol 
Read this &quot;HTTPS helps prevent intruders from tampering with the communications between your websites and your users&#39; browsers. Intruders include intentionally malicious attackers, and legitimate but intrusive companies, such as ISPs or hotels that inject ads into pages.&quot;
To prevent it use https and in our case use Vpn it will  help encrpt you credentials.",2020-11-16 11:46:27
38,"I was missing overwriting the *groups* field in the *User* class. Then, I had to change the User serializer as I wanted to write the groups with the ids (group_ids). In the end, the code is: 

*models.py*
```
class GroupExtended(Group):
    description =  models.TextField(blank=True)
    digitaltwin_permissions = models.ManyToManyField(
        to = DigitaltwinPermission,
        blank = True,
        null = True,
        default = None,
        related_name = &quot;gemelo&quot;
    )
    panel_permissions = models.ManyToManyField(
        to = PanelPermission,
        blank = True,
        null = True,
        default = None,
        related_name = &quot;panel&quot;
    )

class User(AbstractUser):
    avatar = models.ForeignKey(
        Avatar, 
        on_delete = models.CASCADE,
        blank = True,
        null = True
    )

    groups = models.ManyToManyField(
        to = GroupExtended,
        blank = True,
        null = True
    )
```

And 

*serializers.py*
```
class GroupExtendedSerializer(serializers.ModelSerializer):
    digitaltwin_permissions = DTPSerializer(read_only=True, many=True)
    digitaltwin_permissions_ids = serializers.PrimaryKeyRelatedField(
        many=True,  
        read_only=False, 
        queryset = DigitaltwinPermission.objects.all(),
        source = &#39;digitaltwin_permissions&#39;
    )
    panel_permissions = PPSerializer(read_only=True, many=True)
    panel_permissions_ids = serializers.PrimaryKeyRelatedField(
        many=True,  
        read_only=False, 
        queryset = PanelPermission.objects.all(),
        source = &#39;panel_permissions&#39;
    )
    class Meta:
        model = GroupExtended
        fields = &#39;__all__&#39;
        depth = 8

class UserSerializer(serializers.ModelSerializer):
    avatar = AvatarSerializer(read_only=True)
    avatar_id = serializers.IntegerField()
    groups = GroupExtendedSerializer(read_only=True, many=True)
    groups_ids = serializers.PrimaryKeyRelatedField(
        many=True,  
        read_only=False, 
        queryset = GroupExtended.objects.all(),
        source = &#39;groups&#39;
    )

    class Meta:
        model = User
        fields = &#39;__all__&#39;
```",2020-11-16 11:10:59
39,"Edit: just reverse the range
```
n = int(input(&quot;Input triangle height: &quot;))

for var in reversed(range(0, n)): # put a reversed here
    for i in range(0, n - var - 1):
        print(end=&quot; &quot;)
    for i in range(0, var + 1):
        print(&quot;*&quot;, end=&quot; &quot;)
    print()
```

You may save the answer first,
```
n = int(input(&quot;Input triangle height: &quot;))
lines = []
for var in range(0, n):
    lines.append(&quot;&quot;)
    for i in range(0, n - var - 1):
        lines[var] += &quot; &quot;
    for i in range(0, var + 1):
        lines[var] += &quot;* &quot;
for line in lines:
    print(line)
```

Then if you wanna reverse it, simply do,
```
n = int(input(&quot;Input triangle height: &quot;))
lines = []
for var in range(0, n):
    lines.append(&quot;&quot;)
    for i in range(0, n - var - 1):
        lines[var] += &quot; &quot;
    for i in range(0, var + 1):
        lines[var] += &quot;* &quot;
for line in reversed(lines):
    print(line)
```
",2020-11-16 11:46:05
40,"Place your script tag at the end of the body tag. Your file is executed in a chronological order, therefore, your script cannot find any element with the id of &quot;div&quot;. So place it like this - 
```
&lt;button onclick=&quot;p1();&quot;&gt;p1&lt;/button&gt;
&lt;div id=&quot;div&quot; style=&quot;display:block;&quot;&gt;div1&lt;/div&gt;
&lt;script src=&quot;o.js&quot;&gt;&lt;/script&gt;
```",2020-11-16 11:46:05
41,"[ in progress ... ]

One method to do this is by simply adding another trace, you were nearly there!

**Note:**  
The following code uses the &#39;lower-level&#39; plotly API, as (personally) I feel it&#39;s more transparent and enables the user to see what is being plotted, and why; rather than relying on the convenience modules of `graph_objects` and `express`.

### Option 1 - Overlaid Bars:

    from plotly.offline import plot
    
    layout = {}
    traces = []
    
    traces.append({&#39;x&#39;: data1, &#39;name&#39;: &#39;D1&#39;, &#39;opacity&#39;: 1.0})
    traces.append({&#39;x&#39;: data2, &#39;name&#39;: &#39;D2&#39;, &#39;opacity&#39;: 0.5})
    
    # For each trace, add elements which are common to both.
    for t in traces:
        t.update({&#39;type&#39;: &#39;histogram&#39;,
                  &#39;histfunc&#39;: &#39;count&#39;,
                  &#39;nbinsx&#39;: 50})
    
    layout[&#39;barmode&#39;] = &#39;overlay&#39;
    
    plot({&#39;data&#39;: traces, &#39;layout&#39;: layout})

### Output 1:
[![enter image description here][1]][1]

### Option 2 - Curve Plot:  
Another option is to plot the curve (Gaussian KDE) of the distribution, as shown here. It&#39;s worth noting that this method plots the probability density, rather than the counts.

    X1, Y1 = calc_curve(data1)
    X2, Y2 = calc_curve(data2)
    
    traces = []
    traces.append({&#39;x&#39;: X1, &#39;y&#39;: Y1, &#39;name&#39;: &#39;D1&#39;})
    traces.append({&#39;x&#39;: X2, &#39;y&#39;: Y2, &#39;name&#39;: &#39;D2&#39;})
    
    plot({&#39;data&#39;: traces})

### Output 2:
[![enter image description here][2]][2]


Associated `calc_curve` function:

    from scipy.stats import gaussian_kde

    def calc_curve(data):
        &quot;&quot;&quot;Calculate probability density.&quot;&quot;&quot;
        min_, max_ = data.min(), data.max()
        X = [min_ + i * ((max_ - min_) / 500) for i in range(501)]
        Y = gaussian_kde(data).evaluate(X)
        return(X, Y)

### Option 3 - Plot Bars and Curves:
Or, you can always combine the two methods together, using the probability density on the yaxis.

    layout = {}
    traces = []
    
    traces.append({&#39;x&#39;: data1, &#39;name&#39;: &#39;D1&#39;, &#39;opacity&#39;: 1.0})
    traces.append({&#39;x&#39;: data2, &#39;name&#39;: &#39;D2&#39;, &#39;opacity&#39;: 0.5})
    
    for t in traces:
        t.update({&#39;type&#39;: &#39;histogram&#39;,
                  &#39;histnorm&#39;: &#39;probability density&#39;,
                  &#39;nbinsx&#39;: 50})
    
    traces.append({&#39;x&#39;: X1, &#39;y&#39;: Y1, &#39;name&#39;: &#39;D1&#39;})
    traces.append({&#39;x&#39;: X2, &#39;y&#39;: Y2, &#39;name&#39;: &#39;D2&#39;})
    
    layout[&#39;barmode&#39;] = &#39;overlay&#39;
    
    plot({&#39;data&#39;: traces, &#39;layout&#39;: layout})  

### Output 3:  
[![enter image description here][3]][3]

  [1]: https://i.stack.imgur.com/K0Ulx.png
  [2]: https://i.stack.imgur.com/i1wLK.png
  [3]: https://i.stack.imgur.com/HRBkr.png",2020-11-16 11:06:58
42,"Create ordered categorical for prioritize `Status`, then sorting per all columns, remove duplicates by first column `A` and last sorting index:


    c = [&#39;OK&#39;,&#39;Open&#39;,&#39;Close&#39;]
    df[&#39;Status&#39;] = pd.Categorical(df[&#39;Status&#39;], ordered=True, categories=c)
    
    df = df.sort_values([&#39;A&#39;,&#39;Status&#39;,&#39;Col_1&#39;]).drop_duplicates(&#39;A&#39;).sort_index()
    print (df)
         A Status  Col_1
    0   11     OK   2000
    2   12  Close   2000
    3  NaN     OK   2000
    4   13     OK   2000
    6   14   Open   2000
    8   15    NaN   2000

EDIT:


    df[&#39;test&#39;] = df[&#39;A&#39;].isna().cumsum()
    
    c = [&#39;OK&#39;,&#39;Open&#39;,&#39;Close&#39;]
    df[&#39;Status&#39;] = pd.Categorical(df[&#39;Status&#39;], ordered=True, categories=c)
    
    df = (df.sort_values([&#39;A&#39;,&#39;Status&#39;,&#39;Col_1&#39;, &#39;test&#39;])
            .drop_duplicates([&#39;A&#39;, &#39;test&#39;])
            .sort_index())",2020-11-16 10:57:01
43,"When the DICOM transfer syntax is 1.2.840.10008.1.2.4.70 (Jpeg lossless) the photometric interpretation cannot be RGB but one of the YBR (YBR_FULL or YBR_PARTIAL or the chroma subsampled versions).

There are several DICOM datasets out there that have this mistake and the only way to show them correctly is to replace RGB with YBR_FULL or the subsampled YBR_FULL_422.",2020-11-16 11:45:50
