,Comment,Creation Date
84,It will trigger on both signin and signout.  How are you observing that it doesn&#39;t work for signout?  Please edit the question to provide the full steps and code for that.,2020-11-16 00:20:16
85,"What is your actual question?  All you posted here is one sentence telling us what you are interested in learning about, but didn&#39;t actually ask anything.",2020-11-16 00:20:13
86,"This doesn&#39;t work because InputBox returns an empty string on cancel, not <code>Nothing</code>.",2020-11-16 00:20:04
87,"you can of course install ver 3.6 systemwide if you feel  it is better for your requirements. However, you don&#39;t need to do download from python.org manually because  conda will pull python version you indicate for example conda create -n &lt;myproject&gt; python=3.6.10",2020-11-16 00:19:53
88,like <code>df.groupby(&#39;TICKER&#39;).first(3).groupby(&#39;TICKER&#39;)</code>?,2020-11-16 00:19:49
89,The app &quot;performing&quot; your instrumented tests [your.package.name].test is a &quot;regular&quot; application. You can read android.app.Instrumentation source code which internally uses UiAutomation.,2020-11-16 00:19:48
90,"<a href=""https://stackoverflow.com/questions/388242/the-definitive-c-book-guide-and-list"" title=""the definitive c book guide and list"">stackoverflow.com/questions/388242/&hellip;</a>",2020-11-16 00:19:47
91,"none of the code you&#39;ve shown has anything to do with <code>refreshToken</code> ... other than the fact that the <code>currentHashedRefreshToken</code> is actually (I&#39;m guessing since I can&#39;t decrypt it) the hashed password used for creating the <code>refreshToken</code> - the value of <code>refreshToken</code> has nothing to do with <code>isRefreshTokenMatching</code> based on the code you&#39;ve shown - again, you&#39;ll have to show how <code>isRefreshTokenMatching</code> is calculated if you want more information",2020-11-16 00:19:43
92,Wouldn&#39;t e.g. <code>typeof Animal</code> or <code>new() =&gt; A</code> be better than just <code>Function</code>?,2020-11-16 00:19:42
93,"Caution there though, as using <code>AsEnumerable</code> or <code>ToList</code> will materialize <i>all</i> rows to memory. With a small dataset that cost can be acceptable, but if the # of rows grows over time it is a bit of a landmine.",2020-11-16 00:19:38
94,"You basically ask how compilers work. And how makefiles work. That&#39;s way too broad, for one question.",2020-11-16 00:19:36
95,"Hey Cary  Almost. Rather I&#39;m trying to distribute the elements in the array from the max value, starting from the following element and looping back through.   So with an array of [1,2,3,2,1] it would become [2,2,0,3,2] having already incremented by a count of three, distributed across the following elements in the loop chain",2020-11-16 00:19:34
96,"Based on the URL of your link containing your profile site, you appear to have linked to your own site/a site you&#39;re affiliated with. If you do, you must disclose that it&#39;s your site in your post. If you don&#39;t disclose affiliation, it&#39;s considered spam. See: <a href=""https://meta.stackexchange.com/q/182212"">What signifies &quot;Good&quot; self promotion?</a>, <a href=""/help/promotion"">some tips and advice about self-promotion</a>, <a href=""https://meta.stackoverflow.com/q/260638"">What is the exact definition of &quot;spam&quot; for Stack Overflow?</a>, and <a href=""https://meta.stackexchange.com/a/58035"">What makes something spam</a>.",2020-11-16 00:19:34
97,@Jossy: welcome. You would need to assess the performance of both queries against your actual dataset.,2020-11-16 00:19:33
98,"Start with this fiddle <a href=""https://jsfiddle.net/user2314737/tft5ndj1/"" rel=""nofollow noreferrer"">jsfiddle.net/user2314737/tft5ndj1</a>",2020-11-16 00:19:26
99,"thank you very much indeed, you take care of yourself",2020-11-16 00:19:21
